Restaurant Name,Country Code,City,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Votes
Le Petit Souffle,162,Makati City,"Century City Mall, Poblacion, Makati City",121.027535,14.565443,"French, Japanese, Desserts",1100,1,0,0,3,4.8,314
Izakaya Kikufuji,162,Makati City,"Little Tokyo, Legaspi Village, Makati City",121.014101,14.553708,Japanese,1200,1,0,0,3,4.5,591
Heat - Edsa Shangri-La,162,Mandaluyong City,"Edsa Shangri-La, Ortigas, Mandaluyong City",121.056831,14.581404,"Seafood, Asian, Filipino, Indian",4000,1,0,0,4,4.4,270
Ooma,162,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",121.056475,14.585318,"Japanese, Sushi",1500,0,0,0,4,4.9,365
Sambo Kojin,162,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",121.057508,14.58445,"Japanese, Korean",1500,1,0,0,4,4.8,229
Din Tai Fung,162,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",121.056314,14.583764,Chinese,1000,0,0,0,3,4.4,336
Buffet 101,162,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City",120.9796667,14.53133333,"Asian, European",2000,1,0,0,4,4.0,520
Vikings,162,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City",120.9793333,14.54,"Seafood, Filipino, Asian, European",2000,1,0,0,4,4.2,677
Spiral - Sofitel Philippine Plaza Manila,162,Pasay City,"Sofitel Philippine Plaza Manila, Pasay City",120.98009,14.55299,"European, Asian, Indian",6000,1,0,0,4,4.9,621
Locavore,162,Pasig City,Kapitolyo,121.056532,14.572041,Filipino,1100,1,0,0,3,4.8,532
Silantro Fil-Mex,162,Pasig City,Kapitolyo,121.057916,14.567689,"Filipino, Mexican",800,0,0,0,3,4.9,1070
Mad Mark's Creamery & Good Eats,162,Pasig City,Kapitolyo,121.06082,14.570849,"American, Ice Cream, Desserts",900,1,0,0,3,4.2,488
Silantro Fil-Mex,162,Quezon City,"UP Town Center, Diliman, Quezon City",121.075419,14.649503,"Filipino, Mexican",800,0,0,0,3,4.8,294
Guevarra's,162,San Juan City,Addition Hills,121.0335917,14.59345,Filipino,1000,1,0,0,3,4.2,458
Sodam Korean Restaurant,162,San Juan City,Little Baguio,121.03811,14.59889,Korean,700,0,0,0,3,4.3,223
Cafe Arabelle,162,Santa Rosa,"Nuvali, Don Jose, Santa Rosa",121.05704,14.237082,"Cafe, American, Italian, Filipino",800,0,0,0,3,3.6,29
Nonna's Pasta & Pizzeria,162,Santa Rosa,"Solenad 3, Don Jose, Santa Rosa",121.0565874,14.23767897,"Italian, Pizza",850,0,0,0,3,4.0,72
Balay Dako,162,Tagaytay City,Tagaytay City,120.951589,14.101834,Filipino,1200,1,0,0,3,4.5,211
Hobing Korean Dessert Cafe,162,Taguig City,"BGC Stopover Pavillion, Bonifacio Global City",121.045878,14.55436,"Cafe, Korean, Desserts",600,0,0,0,2,4.5,118
Wildflour Cafe + Bakery,162,Taguig City,Bonifacio Global City,121.04622,14.549337,"Cafe, Bakery, American, Italian",1500,1,0,0,4,4.4,392
NIU by Vikings,162,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City",121.053725,14.545858,"Seafood, American, Mediterranean, Japanese",3000,1,0,0,4,4.7,535
The Food Hall by Todd English,162,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City",121.0534998,14.54565535,"American, Asian, Italian, Seafood",1800,1,0,0,4,4.5,618
Chez Michou,30,Bras�_lia,Asa Norte,-47.88178889,-15.76414167,"Fast Food, French",55,0,0,0,2,3.0,6
Caf�� Daniel Briand,30,Bras�_lia,Asa Norte,-47.88266667,-15.7775,Cafe,30,0,0,0,1,3.8,9
Casa do Biscoito Mineiro,30,Bras�_lia,Asa Norte,-47.88213611,-15.75747222,Bakery,45,0,0,0,2,3.7,11
Maori,30,Bras�_lia,Asa Norte,-47.88816667,-15.75883333,Brazilian,60,0,0,0,3,3.8,11
Pizza �� Bessa,30,Bras�_lia,Asa Sul,-47.91566667,-15.83116667,Pizza,50,0,0,0,2,3.2,11
Sushi Loko,30,Bras�_lia,Asa Sul,-47.91566667,-15.831,Japanese,80,0,0,0,3,3.1,10
Beirute,30,Bras�_lia,Asa Sul,-47.9075,-15.82,Arabian,90,0,0,0,3,3.7,8
New Koto,30,Bras�_lia,Asa Sul,-47.91016667,-15.82733333,Japanese,200,0,0,0,4,3.7,5
Villa Tevere,30,Bras�_lia,Asa Sul,-47.92366667,-15.83133333,Italian,150,0,0,0,4,4.1,12
Rovereto,30,Bras�_lia,�guas Claras,-48.019,-15.83716667,Pizza,100,0,0,0,4,3.1,9
Buena Carne,30,Bras�_lia,�guas Claras,-48.01909167,-15.839775,"Bar Food, Brazilian",60,0,0,0,3,3.6,9
Taco Pep,30,Bras�_lia,�guas Claras,-48.01666667,-15.83483333,"Mexican, Grill",100,0,0,0,4,4.3,29
Coco Bambu,30,Bras�_lia,"Bras�_lia Shopping, Asa Norte",-47.889,-15.7865,International,230,0,0,0,4,4.2,17
Tayp��,30,Bras�_lia,Lago Sul,-47.872359,-15.860621,"Peruvian, Latin American",100,0,0,0,4,3.6,5
Outback Steakhouse,30,Bras�_lia,"ParkShopping, Guar�� I",-47.95628333,-15.83451389,"American, Grill",150,0,0,0,4,4.0,10
Manzu��,30,Bras�_lia,"Pont��o Lago Sul, Lago Sul",-47.87283333,-15.82566667,Seafood,240,0,0,0,4,3.2,6
Coco Bambu,30,Bras�_lia,Setor De Clubes Esportivos Sul,-47.8685,-15.819,International,230,0,0,0,4,4.9,30
Gero,30,Bras�_lia,"Shopping Iguatemi, Lago Norte",-47.885812,-15.720118,Italian,350,0,0,0,4,3.3,8
Brazilian American Burgers,30,Bras�_lia,Sudoeste,-47.92102778,-15.79753056,"American, Burger",50,0,0,0,2,3.6,9
Pesqueiro Eco Gourmet,30,Rio de Janeiro,Barra da Tijuca,-43.377,-23.0115,"Seafood, Bar Food, Brazilian",140,0,0,0,4,4.0,7
Confeitaria Colombo,30,Rio de Janeiro,Centro,-43.178826,-22.905293,"Desserts, Cafe",100,0,0,0,4,4.8,29
Bibi,30,Rio de Janeiro,Copacabana,-43.18669167,-22.97207222,"Juices, Healthy Food",60,0,0,0,3,4.7,24
Cervantes,30,Rio de Janeiro,Copacabana,-43.17583333,-22.96216667,"Beverages, Bar Food, Fast Food",90,0,0,0,3,4.5,29
Amir,30,Rio de Janeiro,Copacabana,-43.176,-22.96516667,Lebanese,170,0,0,0,4,4.2,11
TT Burger,30,Rio de Janeiro,"Galeria River, Copacabana",-43.191,-22.98683333,Burger,60,0,0,0,3,4.8,19
Braseiro da G��vea,30,Rio de Janeiro,G��vea,-43.227042,-22.973507,"Brazilian, Bar Food",100,0,0,0,4,4.9,40
Balada Mix,30,Rio de Janeiro,Ipanema,-43.211425,-22.98520833,"Brazilian, Healthy Food, Juices, Pizza",90,0,0,0,3,4.6,21
Garota de Ipanema,30,Rio de Janeiro,Ipanema,-43.203,-22.98533333,"Brazilian, Bar Food",120,0,0,0,4,4.9,49
Zaz�� Bistr�� Tropical,30,Rio de Janeiro,Ipanema,-43.20520833,-22.98531944,Brazilian,170,0,0,0,4,4.6,21
Fil�� de Ouro,30,Rio de Janeiro,Lagoa,-43.219563,-22.966647,Brazilian,90,0,0,0,3,4.3,14
D.O.C Ristorante,30,Rio de Janeiro,"Le Monde, Barra da Tijuca",-43.34879167,-22.99991111,Italian,150,0,0,0,4,4.0,5
Sushi Leblon,30,Rio de Janeiro,Leblon,-43.227,-22.98416667,Japanese,250,0,0,0,4,4.6,25
