City,Total_Restaurants,Avg_Rating,Avg_Cost_for_Two,Avg_Price_Range,Online_Delivery_Pct,Table_Booking_Pct
New Delhi,3975,3.3,677.38,1.77,36.0%,17.0%
Gurgaon,874,3.33,800.75,2.01,47.0%,23.0%
Noida,676,3.16,634.72,1.78,49.0%,15.0%
Faridabad,147,3.1,497.28,1.56,23.0%,7.0%
Ghaziabad,23,3.1,628.26,1.87,43.0%,13.0%
Ahmedabad,21,4.16,857.14,2.57,52.0%,0.0%
Indore,20,3.97,960.0,2.75,0.0%,0.0%
Jaipur,20,4.13,1310.0,2.85,50.0%,0.0%
Kochi,20,4.08,730.0,2.05,25.0%,0.0%
Kolkata,20,4.26,1272.5,2.85,40.0%,45.0%
Mumbai,20,4.08,1072.5,2.75,35.0%,45.0%
Puducherry,20,3.73,842.5,3.0,0.0%,0.0%
Pune,20,4.22,1337.5,2.95,35.0%,65.0%
Sharjah,20,4.03,105.5,3.3,55.0%,0.0%
Waterloo,20,3.65,21.25,1.75,0.0%,0.0%
